trading_pair,date,open,high,low,close,volume
DOGE-USD,7/8/2021 20:00:00,0.1955,0.2298,0.2072,0.2196,236319196.6
DOGE-USD,7/7/2021 20:00:00,0.2017,0.2249,0.224,0.2072,195477532.4
DOGE-USD,7/6/2021 20:00:00,0.2209,0.2386,0.2342,0.2239,107956123.5
DOGE-USD,7/5/2021 20:00:00,0.2294,0.2422,0.2312,0.2342,88550837.6
DOGE-USD,7/4/2021 20:00:00,0.2262,0.2466,0.2466,0.2312,100615850.7
DOGE-USD,7/3/2021 20:00:00,0.2433,0.2528,0.2465,0.2467,66153102.1
DOGE-USD,7/2/2021 20:00:00,0.242,0.2502,0.2453,0.2465,66914583.1
DOGE-USD,7/1/2021 20:00:00,0.2385,0.2489,0.2438,0.2452,111923201.4
DOGE-USD,6/30/2021 20:00:00,0.2383,0.2619,0.2539,0.2441,164261335.3
DOGE-USD,6/29/2021 20:00:00,0.2378,0.2641,0.2635,0.2541,184596444.7
DOGE-USD,6/28/2021 20:00:00,0.2527,0.2758,0.2571,0.2636,195143202.1
DOGE-USD,6/27/2021 20:00:00,0.2506,0.2669,0.2646,0.2572,171045051.3
DOGE-USD,6/26/2021 20:00:00,0.2403,0.2677,0.2458,0.2647,180482566.4
DOGE-USD,6/25/2021 20:00:00,0.2306,0.2557,0.2374,0.2459,208364317.6
DOGE-USD,6/24/2021 20:00:00,0.2285,0.29,0.264,0.2375,645832694.1
DOGE-USD,6/23/2021 20:00:00,0.2218,0.27,0.2349,0.264,351286805.7
DOGE-USD,6/22/2021 20:00:00,0.1805,0.2495,0.1909,0.2349,564383669.4
DOGE-USD,6/21/2021 20:00:00,0.1633,0.2175,0.1787,0.1909,794429143.4
DOGE-USD,6/20/2021 20:00:00,0.1643,0.2811,0.2803,0.1788,791737076
DOGE-USD,6/19/2021 20:00:00,0.255,0.2896,0.2858,0.2803,158647350.2
DOGE-USD,6/18/2021 20:00:00,0.2856,0.298,0.2935,0.2856,57112283
DOGE-USD,6/17/2021 20:00:00,0.2799,0.3078,0.3062,0.2934,176036609.4
DOGE-USD,6/16/2021 20:00:00,0.3028,0.3141,0.3078,0.3064,56543539.4
DOGE-USD,6/15/2021 20:00:00,0.3051,0.3213,0.3204,0.3077,82167983.9
DOGE-USD,6/14/2021 20:00:00,0.3165,0.3307,0.3277,0.3204,83817626.3
DOGE-USD,6/13/2021 20:00:00,0.3196,0.3377,0.3243,0.3276,93716865.3
DOGE-USD,6/12/2021 20:00:00,0.3077,0.3306,0.3123,0.3243,73923729.4
DOGE-USD,6/11/2021 20:00:00,0.3011,0.3192,0.3189,0.3121,94733927
DOGE-USD,6/10/2021 20:00:00,0.311,0.3343,0.3262,0.3189,132298372.1
DOGE-USD,6/9/2021 20:00:00,0.3228,0.3455,0.3437,0.3261,144170835.3
DOGE-USD,6/8/2021 20:00:00,0.3125,0.3548,0.3264,0.3436,197780888.9
DOGE-USD,6/7/2021 20:00:00,0.2959,0.3422,0.3317,0.3264,287575509.5
DOGE-USD,6/6/2021 20:00:00,0.3274,0.38,0.3719,0.3315,205450202.3
DOGE-USD,6/5/2021 20:00:00,0.3669,0.3774,0.3718,0.3717,125063397.2
DOGE-USD,6/4/2021 20:00:00,0.3598,0.3948,0.3769,0.3718,221827648.1
DOGE-USD,6/3/2021 20:00:00,0.35,0.4039,0.4015,0.3769,570165109.2
DOGE-USD,6/2/2021 20:00:00,0.3779,0.4875,0.4875,0.4015,190111721.7
DOGE-USD,6/1/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/31/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/30/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/29/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/28/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/27/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/26/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/25/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/24/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/23/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/22/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/21/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/20/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/19/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/18/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/17/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/16/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/15/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/14/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/13/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/12/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/11/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/10/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/9/2021 20:00:00,None,None,None,None,None
DOGE-USD,5/8/2021 20:00:00,None,None,None,None,None
